8.737798,-86.238616
8.886388,-87.70514
9.026191,-89.084936
9.157068,-90.37664
9.278889,-91.578975
9.391536,-92.690752
9.494896,-93.71087
9.588866,-94.638322
9.673355,-95.472191
9.748278,-96.211651
9.813561,-96.855972
9.86914,-97.404516
9.91496,-97.856741
9.950976,-98.2122
9.977151,-98.470541
9.993461,-98.631509
9.999888,-98.694945
9.996427,-98.660786
9.983081,-98.529065
9.959863,-98.299913
9.926796,-97.973557
9.883913,-97.550319
9.831256,-97.030618
9.768878,-96.414968
9.69684,-95.703977
9.615212,-94.898349
9.524077,-93.998879
9.423524,-93.006459
9.313652,-91.922069
9.194571,-90.746781
9.066397,-89.481757
8.929258,-88.128249
8.783289,-86.687595
8.628635,-85.161219
8.465448,-83.550631
8.29389,-81.857423
8.114131,-80.083271
7.926348,-78.229927
7.730727,-76.299226
7.527462,-74.293075
7.316753,-72.213459
7.098808,-70.062435
6.873844,-67.842129
6.642083,-65.554737
6.403754,-63.202521
6.159092,-60.787806
5.90834,-58.312981
5.651745,-55.780493
5.389562,-53.192846
5.122049,-50.5526
4.849471,-47.862363
4.572098,-45.124798
4.290203,-42.342611
4.004066,-39.518554
3.71397,-36.655418
3.420201,-33.756035
3.12305,-30.823272
2.822811,-27.86003
2.51978,-24.869238
2.214258,-21.853853
1.906546,-18.816859
1.596949,-15.761257
1.285773,-12.69007
0.973325,-9.606334
0.659915,-6.513099
0.345852,-3.413424
0.031447,-0.310373
-0.282989,2.792985
-0.597145,5.893581
-0.91071,8.98835
-1.223375,12.07423
-1.53483,15.14817
-1.844768,18.207131
-2.152881,21.248088
-2.458866,24.268033
-2.762419,27.263981
-3.06324,30.232969
-3.361032,33.17206
-3.655501,36.07835
-3.946355,38.948963
-4.233306,41.781061
-4.516072,44.571843
-4.794371,47.318551
-5.06793,50.018467
-5.336477,52.668922
-5.599747,55.267296
-5.85748,57.811017
-6.109421,60.297573
-6.35532,62.724502
-6.594935,65.089406
-6.828029,67.389946
-7.05437,69.623847
-7.273736,71.7889
-7.485909,73.882964
-7.690679,75.903969
-7.887845,77.849916
-8.077211,79.71888
-8.258589,81.509013
-8.431801,83.218546
-8.596675,84.845788
-8.753048,86.38913
-8.900766,87.847045
-9.039682,89.218093
-9.169659,90.500916
-9.290569,91.694247
-9.402292,92.796906
-9.504717,93.807801
-9.597743,94.725935
-9.681279,95.550398
-9.755241,96.280376
-9.819557,96.915146
-9.874162,97.454081
-9.919004,97.896648
-9.954036,98.242409
-9.979226,98.491023
-9.994548,98.642244
-9.999987,98.695921
-9.995537,98.652002
-9.981203,98.510531
-9.956999,98.271647
-9.922949,97.935587
-9.879086,97.502682
-9.825455,96.973361
-9.762108,96.348148
-9.689107,95.62766
-9.606525,94.81261
-9.514444,93.903805
-9.412954,92.902142
-9.302157,91.808612
-9.18216,90.624296
-9.053084,89.350367
-8.915056,87.988082
-8.768212,86.53879
-8.612698,85.003924
-8.448666,83.385001
-8.276281,81.683622
-8.095711,79.90147
-7.907136,78.040307
-7.710741,76.101974
-7.506722,74.088386
-7.29528,72.001536
-7.076624,69.843486
-6.85097,67.616372
-6.618542,65.322394
-6.379569,62.963823
-6.134287,60.542989
-5.882939,58.062286
-5.625774,55.524169
-5.363046,52.931146
-5.095015,50.285782
-4.821945,47.590692
-4.544107,44.848543
-4.261776,42.062044
-3.97523,39.233952
-3.684754,36.367063
-3.390633,33.464213
-3.09316,30.528271
-2.792629,27.562142
-2.489335,24.568757
-2.18358,21.551077
-1.875666,18.512086
-1.565898,15.45479
-1.25458,12.382211
-0.942022,9.297388
-0.628533,6.203371
-0.314422,0
0,0
